pickup_datetime,dropoff_datetime,trip_distance,passenger_count,payment_amount
1/1/16 0:30,1/1/16 0:49,8.5,2,31.3
1/1/16 0:30,1/1/16 1:02,4.98,5,23.3
1/1/16 0:30,2/1/16 0:28,3.7,1,16.3
1/1/16 0:30,1/1/16 0:38,0.81,6,7.8
1/1/16 0:31,1/1/16 0:32,0.2,1,4.3
1/1/16 0:31,1/1/16 0:37,1.55,6,8.3
1/1/16 0:31,1/1/16 0:38,1.07,1,9.96
1/1/16 0:31,1/1/16 0:45,4,2,19.3
1/1/16 0:31,1/1/16 0:48,2.3,2,15.3
1/1/16 0:32,1/1/16 1:00,7.7,1,29.3
1/1/16 0:32,1/1/16 0:52,8.1,1,26.8
1/1/16 0:32,1/1/16 0:51,2.6,1,18.35
1/1/16 0:32,1/1/16 0:39,1.17,1,7.8
1/1/16 0:33,1/1/16 0:51,3.9,4,16.3
1/1/16 0:33,1/1/16 0:44,2,1,11.3
1/1/16 0:33,1/1/16 0:51,4.3,3,19.8
1/1/16 0:33,1/1/16 1:00,3.75,2,19.8
1/1/16 0:33,1/1/16 0:35,0.5,2,4.8
1/1/16 0:34,1/1/16 0:49,4.55,5,16.3
1/1/16 0:34,1/1/16 0:45,2.06,1,12.96
1/1/16 0:34,1/1/16 0:39,1.17,1,8.84
1/1/16 0:34,1/1/16 0:43,2.3,1,12.35
1/1/16 0:34,1/1/16 0:42,1,4,7.8
1/1/16 0:35,1/1/16 0:46,1.5,1,9.8
1/1/16 0:35,1/1/16 0:57,3.2,1,19.5
1/1/16 0:35,1/1/16 0:41,0.9,1,8.75
1/1/16 0:35,1/1/16 0:55,3,1,20.35
1/1/16 0:36,1/1/16 1:04,4.3,2,21.8
1/1/16 0:36,1/1/16 0:53,3.24,1,18.5
1/1/16 0:36,1/1/16 1:01,2.87,1,21.96
1/1/16 0:36,1/1/16 0:50,5.3,1,18.8
1/1/16 0:36,1/1/16 0:48,2.26,1,14.69
1/1/16 0:37,1/1/16 0:54,4,5,21
1/1/16 0:37,1/1/16 0:55,4.24,3,17.8
1/1/16 0:37,1/1/16 0:43,0.71,5,6.8
1/1/16 0:37,1/1/16 1:03,4.6,1,20.8
1/1/16 0:37,1/1/16 1:04,3.4,2,20.3
1/1/16 0:38,1/1/16 0:58,4.5,1,18.3
1/1/16 0:38,1/1/16 0:47,4.24,1,18.5
1/1/16 0:38,1/1/16 0:49,2.51,1,13.56
1/1/16 0:39,1/1/16 0:49,1.56,6,9.8
1/1/16 0:39,1/1/16 0:52,1.65,1,10.8
1/1/16 0:39,1/1/16 0:49,0.9,4,8.8
1/1/16 0:39,1/1/16 1:14,3.9,1,30.25
1/1/16 0:39,1/1/16 0:47,1.03,1,7.8
1/1/16 0:39,1/1/16 0:48,1.1,2,9.95
1/1/16 0:40,1/1/16 0:51,1.92,1,10.8
1/1/16 0:40,1/1/16 0:58,5.5,2,20.8
1/1/16 0:40,1/1/16 0:48,2.55,1,12.96
1/1/16 0:40,1/1/16 0:49,0.9,2,9.95
1/1/16 0:40,1/1/16 0:53,2.56,1,14.76
1/1/16 0:41,1/1/16 0:55,2.4,1,15.35
1/1/16 0:41,1/1/16 1:01,4.3,3,17.8
1/1/16 0:41,1/1/16 0:55,2.46,1,14.76
1/1/16 0:41,1/1/16 1:13,9.81,5,41.62
1/1/16 0:42,1/1/16 0:59,3,3,15.3
1/1/16 0:42,1/1/16 1:06,3.77,2,20.8
1/1/16 0:42,1/1/16 0:50,2.04,1,12.36
1/1/16 0:42,1/1/16 1:02,5.1,3,19.3
1/1/16 0:42,1/1/16 1:02,2.8,2,18.95
1/1/16 0:42,1/1/16 0:47,1.3,1,8.8
1/1/16 0:43,1/1/16 1:09,8.2,1,28.8
1/1/16 0:43,1/1/16 1:00,2.94,1,14.8
1/1/16 0:43,1/1/16 0:52,1.2,1,11
1/1/16 0:43,1/1/16 0:51,0.8,1,200.3
1/1/16 0:43,1/1/16 0:58,3.7,1,15.3
1/1/16 0:44,1/1/16 1:15,11,3,36.8
1/1/16 0:44,1/1/16 1:16,8.14,1,35.16
1/1/16 0:44,1/1/16 1:14,4.97,1,28.99
1/1/16 0:44,1/1/16 1:02,3.6,2,19.63
1/1/16 0:45,1/1/16 0:47,0.77,1,5.3
1/1/16 0:45,1/1/16 1:09,2.9,1,18.3
1/1/16 0:45,1/1/16 0:55,2.44,1,11.8
1/1/16 0:45,1/1/16 0:48,0.85,1,5.8
1/1/16 0:45,1/1/16 0:50,0.5,2,7.3
1/1/16 0:46,1/1/16 0:47,0.1,1,4.3
1/1/16 0:46,1/1/16 1:06,6.16,1,22.3
1/1/16 0:46,1/1/16 0:49,0.6,1,5.8
1/1/16 0:46,1/1/16 0:50,1.3,2,6.8
1/1/16 0:46,1/1/16 0:57,3.7,2,18.8
1/1/16 0:47,1/1/16 0:56,1.5,1,11.15
1/1/16 0:47,1/1/16 1:01,3.62,3,17
1/1/16 0:47,1/1/16 1:13,2.6,1,18.3
1/1/16 0:47,1/1/16 0:50,0.58,4,5.3
1/1/16 0:47,1/1/16 0:55,1.2,1,9.8
1/1/16 0:48,1/1/16 0:56,1.4,4,8.8
1/1/16 0:48,1/1/16 1:02,4.5,1,21.15
1/1/16 0:48,1/1/16 0:57,1.1,1,10.56
1/1/16 0:48,1/1/16 1:04,2.52,1,14.8
1/1/16 0:49,1/1/16 0:56,1.7,1,10.3
1/1/16 0:49,1/1/16 1:00,3.47,1,13.3
1/1/16 0:49,1/1/16 1:04,2.29,2,13.3
1/1/16 0:49,1/1/16 1:09,4.61,2,21.96
1/1/16 0:49,1/1/16 1:06,3.87,1,20.16
1/1/16 0:50,1/1/16 1:13,5.04,1,20.3
1/1/16 0:50,1/1/16 0:57,0.86,1,10.14
1/1/16 0:50,1/1/16 0:59,1,1,8.8
1/1/16 0:50,1/1/16 0:55,0.96,1,6.8
1/1/16 0:50,1/1/16 1:17,4.5,1,26
1/1/16 0:51,1/1/16 1:16,4.1,1,23.75
1/1/16 0:51,1/1/16 0:57,0.86,2,8.76
1/1/16 0:51,1/1/16 1:04,2.9,1,15.95
1/1/16 0:51,1/1/16 1:32,2.3,1,20.3
1/1/16 0:51,1/1/16 1:11,4.4,1,24.1
1/1/16 0:52,1/1/16 0:56,0.56,2,6.96
1/1/16 0:52,1/1/16 1:19,6.33,2,25.3
1/1/16 0:52,1/1/16 1:00,0.4,3,9.2
1/1/16 0:52,1/1/16 1:11,2.17,1,14.3
1/1/16 0:53,1/1/16 1:08,2.45,1,12.8
1/1/16 0:53,1/1/16 1:20,10.4,2,44.19
1/1/16 0:53,1/1/16 1:00,1.93,1,11.62
1/1/16 0:53,1/1/16 1:17,5.52,1,24.3
